dataset,mass_GeV,toy,injection_toy,strength,inj_nsigma,sigmaA_ref,sigmaA_ref_prefit,sigmaA_ref_matched,sigmaA_ref_mode,sigmaA_ref_matched_ok,sigmaA_ref_error,integral_density,A_per_eps2_unit,sigma_val,sigma_x,kernel_ls_policy,kernel_ls_res_lower_factor,kernel_ls_res_upper_factor,ls_lo,ls_hi,ls_init,initial_ls_opt,initial_const_opt,refit_ls_opt,refit_const_opt,ls_opt,const_opt,f_win,f_full,f_train,f_train_frac,n_train,n_train_low,n_train_high,n_blind,blind_nsigma,train_exclude_nsigma,signal_model,inj_shape_mode,inj_background_mode,extract_background_mode,A_hat,sigma_A,Zhat,pull_param,Nsig_win,Nsig_train,success,nll,toy_mode,refit_gp_on_toy,refit_ok,refit_restarts,refit_optimize,refit_kernel_lock_mode,refit_lock_const_opt,refit_lock_ls_opt,refit_tail_alpha_scale,refit_tail_alpha_threshold,refit_tail_alpha_n_bins,refit_tail_alpha_max,refit_tail_alpha_mean,refit_fallback_used,refit_error,source_model,source_label,source_root,container,function_tag,toy_hist,toy_index,qmu_tilde,tmu_tilde,sqrt_qmu_tilde,sqrt_tmu_tilde,qmu_A_test,qmu_branch,qmu_ok,qmu_nll_fixed,qmu_nll_unbounded,qmu_nll_null
2016,0.105,6000000,0,0.0,0.0,7729.347908698958,23877.56915826209,7729.347908698958,matched_refit_bonly,1.0,,37689034.48275863,127742677.31699765,0.00439793380625,0.0410316530546541,resolution_scaled_local,1.1,8.0,0.0451348183601195,0.3282532244372333,0.1217195533227841,0.0956300813227583,13.230022437585818,0.1217195533227841,1.0,0.1217195533227841,1.0,0.9770216863571828,1.0,0.0229783136428172,0.0229783136428172,1120,380,740,80,2.25,2.25,default,full,fixed_hist,profiled,-15152.47240663212,7688.6727118623485,-1.9707526870345728,-1.9707526870345728,0,0,True,-6272925.69092441,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_6,6,0.0,0.0,0.0,0.0,0.0,boundary,True,-6272923.715928028,-6272925.69092441,-6272923.715928028
2016,0.105,6000000,0,7729.347908698958,1.0,7729.347908698958,23877.56915826209,7729.347908698958,matched_refit_bonly,1.0,,37689034.48275863,127742677.31699765,0.00439793380625,0.0410316530546541,resolution_scaled_local,1.1,8.0,0.0451348183601195,0.3282532244372333,0.1217195533227841,0.0956300813227583,13.230022437585818,0.1217195533227841,1.0,0.1217195533227841,1.0,0.9770216863571828,1.0,0.0229783136428172,0.0229783136428172,1120,380,740,80,2.25,2.25,default,full,fixed_hist,profiled,-7504.171468142344,7760.198050067419,-0.9670077257985896,-1.9630322935777336,7511,183,True,-6341539.1084760735,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_6,6,2.9128330815583467,2.9128330815583467,1.7067023998220503,1.7067023998220503,7729.347908698958,boundary,True,-6341537.168056277,-6341539.1084760735,-6341538.624472817
2016,0.105,6000000,0,15458.695817397916,2.0,7729.347908698958,23877.56915826209,7729.347908698958,matched_refit_bonly,1.0,,37689034.48275863,127742677.31699765,0.00439793380625,0.0410316530546541,resolution_scaled_local,1.1,8.0,0.0451348183601195,0.3282532244372333,0.1217195533227841,0.0956300813227583,13.230022437585818,0.1217195533227841,1.0,0.1217195533227841,1.0,0.9770216863571828,1.0,0.0229783136428172,0.0229783136428172,1120,380,740,80,2.25,2.25,default,full,fixed_hist,profiled,-718.697729226448,7839.198626529829,-0.0916799998910849,-2.063653992880851,15148,361,True,-6411451.301440487,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_6,6,4.260993745177984,4.260993745177984,2.0642174655733307,2.0642174655733307,15458.695817397916,boundary,True,-6411449.166527897,-6411451.301440487,-6411451.29702477
2016,0.105,6000000,0,23188.043726096876,3.0,7729.347908698958,23877.56915826209,7729.347908698958,matched_refit_bonly,1.0,,37689034.48275863,127742677.31699765,0.00439793380625,0.0410316530546541,resolution_scaled_local,1.1,8.0,0.0451348183601195,0.3282532244372333,0.1217195533227841,0.0956300813227583,13.230022437585818,0.1217195533227841,1.0,0.1217195533227841,1.0,0.9770216863571828,1.0,0.0229783136428172,0.0229783136428172,1120,380,740,80,2.25,2.25,default,full,fixed_hist,profiled,5459.668164330929,7893.035169132501,0.6917070616487554,-2.246078369332088,22631,509,True,-6480032.116128836,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_6,6,5.0897917076945305,5.0897917076945305,2.25605667209282,2.25605667209282,23188.043726096876,interior,True,-6480029.571232982,-6480032.116128836,-6480031.884301571
2016,0.105,6000000,0,38646.73954349479,5.0,7729.347908698958,23877.56915826209,7729.347908698958,matched_refit_bonly,1.0,,37689034.48275863,127742677.31699765,0.00439793380625,0.0410316530546541,resolution_scaled_local,1.1,8.0,0.0451348183601195,0.3282532244372333,0.1217195533227841,0.0956300813227583,13.230022437585818,0.1217195533227841,1.0,0.1217195533227841,1.0,0.9770216863571828,1.0,0.0229783136428172,0.0229783136428172,1120,380,740,80,2.25,2.25,default,full,fixed_hist,profiled,20610.440834809586,8041.468672432134,2.5630194774577135,-2.242911020783738,37772,889,True,-6618989.192139135,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_6,6,5.049135411158204,5.049135411158204,2.2470281286975924,2.2470281286975924,38646.73954349479,interior,True,-6618986.667571429,-6618989.192139135,-6618985.902598008
2016,0.12,6000000,0,0.0,0.0,4673.865043382368,16785.64001787794,4673.865043382368,matched_refit_bonly,1.0,,17313117.647058807,67063811.038837194,0.0051389504,0.0419329803468917,resolution_scaled_local,1.1,8.0,0.0461262783815809,0.3354638427751339,0.1243933221632123,0.0951539921816771,13.267458898594288,0.1243933221632123,1.0,0.1243933221632123,1.0,0.974766620600367,1.0,0.0252333793996329,0.0252333793996329,1108,434,674,92,2.25,2.25,default,full,fixed_hist,profiled,-6202.142733961271,4673.345849363165,-1.327131124867729,-1.327131124867729,0,0,True,-3059895.3993163127,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_6,6,0.0,0.0,0.0,0.0,0.0,boundary,True,-3059894.5228610905,-3059895.3993163127,-3059894.5228610905
2016,0.12,6000000,0,4673.865043382368,1.0,4673.865043382368,16785.64001787794,4673.865043382368,matched_refit_bonly,1.0,,17313117.647058807,67063811.038837194,0.0051389504,0.0419329803468917,resolution_scaled_local,1.1,8.0,0.0461262783815809,0.3354638427751339,0.1243933221632123,0.0951539921816771,13.267458898594288,0.1243933221632123,1.0,0.1243933221632123,1.0,0.974766620600367,1.0,0.0252333793996329,0.0252333793996329,1108,434,674,92,2.25,2.25,default,full,fixed_hist,profiled,-1058.4767644927683,4716.92642688967,-0.2243996765475787,-1.2152705573690763,4693,126,True,-3099087.15860643,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_6,6,1.4320162711665034,1.4320162711665034,1.1966688226767268,1.1966688226767268,4673.865043382368,boundary,True,-3099086.419963303,-3099087.15860643,-3099087.1359714386
2016,0.12,6000000,0,9347.730086764735,2.0,4673.865043382368,16785.64001787794,4673.865043382368,matched_refit_bonly,1.0,,17313117.647058807,67063811.038837194,0.0051389504,0.0419329803468917,resolution_scaled_local,1.1,8.0,0.0461262783815809,0.3354638427751339,0.1243933221632123,0.0951539921816771,13.267458898594288,0.1243933221632123,1.0,0.1243933221632123,1.0,0.974766620600367,1.0,0.0252333793996329,0.0252333793996329,1108,434,674,92,2.25,2.25,default,full,fixed_hist,profiled,2299.835351168276,4760.654870086401,0.4830922244793049,-1.480446478042746,8974,232,True,-3134872.9351076884,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_6,6,2.199624107219279,2.199624107219279,1.4831129785755632,1.4831129785755632,9347.730086764735,interior,True,-3134871.835295635,-3134872.9351076884,-3134872.8245446975
2016,0.12,6000000,0,14021.595130147103,3.0,4673.865043382368,16785.64001787794,4673.865043382368,matched_refit_bonly,1.0,,17313117.647058807,67063811.038837194,0.0051389504,0.0419329803468917,resolution_scaled_local,1.1,8.0,0.0461262783815809,0.3354638427751339,0.1243933221632123,0.0951539921816771,13.267458898594288,0.1243933221632123,1.0,0.1243933221632123,1.0,0.974766620600367,1.0,0.0252333793996329,0.0252333793996329,1108,434,674,92,2.25,2.25,default,full,fixed_hist,profiled,6597.31961323984,4823.0154436011335,1.367882746880427,-1.5393430943202375,13695,347,True,-3174444.8689445523,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_6,6,2.402872201986611,2.402872201986611,1.5501200605071244,1.5501200605071244,14021.595130147103,interior,True,-3174443.6675084513,-3174444.8689445523,-3174443.9416617188
2016,0.12,6000000,0,23369.32521691184,5.0,4673.865043382368,16785.64001787794,4673.865043382368,matched_refit_bonly,1.0,,17313117.647058807,67063811.038837194,0.0051389504,0.0419329803468917,resolution_scaled_local,1.1,8.0,0.0461262783815809,0.3354638427751339,0.1243933221632123,0.0951539921816771,13.267458898594288,0.1243933221632123,1.0,0.1243933221632123,1.0,0.974766620600367,1.0,0.0252333793996329,0.0252333793996329,1108,434,674,92,2.25,2.25,default,full,fixed_hist,profiled,15356.556894378416,4920.648332390932,3.12084015297161,-1.6283968658739807,22896,638,True,-3251680.0608066386,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_6,6,2.7027329923585057,2.7027329923585057,1.643999085266931,1.643999085266931,23369.32521691184,interior,True,-3251678.7094401424,-3251680.0608066386,-3251675.235862091
2016,0.15,6000000,0,0.0,0.0,1596.0936580064583,4242.076958082863,1596.0936580064583,matched_refit_bonly,1.0,,3537045.454545456,17126302.208755556,0.0066093124999999,0.0431189544867478,resolution_scaled_local,1.1,8.0,0.0474308499354226,0.3449516358939828,0.1279114900119064,0.0951875694221197,13.211504686118293,0.1279114900119064,1.0,0.1279114900119064,1.0,0.9743651756636738,1.0,0.0256348243363262,0.0256348243363262,1082,541,541,118,2.25,2.25,default,full,fixed_hist,profiled,2628.203960923559,1622.5539375675153,1.619794510414664,1.619794510414664,0,0,True,-644905.2742508058,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_6,6,0.0,0.0,0.0,0.0,0.0,muhat_gt_test,True,-644903.9024782376,-644905.2742508058,-644903.9024782376
2016,0.15,6000000,0,1596.0936580064583,1.0,1596.0936580064583,4242.076958082863,1596.0936580064583,matched_refit_bonly,1.0,,3537045.454545456,17126302.208755556,0.0066093124999999,0.0431189544867478,resolution_scaled_local,1.1,8.0,0.0474308499354226,0.3449516358939828,0.1279114900119064,0.0951875694221197,13.211504686118293,0.1279114900119064,1.0,0.1279114900119064,1.0,0.9743651756636738,1.0,0.0256348243363262,0.0256348243363262,1082,541,541,118,2.25,2.25,default,full,fixed_hist,profiled,4254.844295339098,1638.0176000610377,2.5975571295330093,1.623151446744874,1571,35,True,-655505.2314299578,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_6,6,0.0,0.0,0.0,0.0,1596.0936580064583,muhat_gt_test,True,-655503.853349172,-655505.2314299578,-655501.759957877
2016,0.15,6000000,0,3192.1873160129167,2.0,1596.0936580064583,4242.076958082863,1596.0936580064583,matched_refit_bonly,1.0,,3537045.454545456,17126302.208755556,0.0066093124999999,0.0431189544867478,resolution_scaled_local,1.1,8.0,0.0474308499354226,0.3449516358939828,0.1279114900119064,0.0951875694221197,13.211504686118293,0.1279114900119064,1.0,0.1279114900119064,1.0,0.9743651756636738,1.0,0.0256348243363262,0.0256348243363262,1082,541,541,118,2.25,2.25,default,full,fixed_hist,profiled,5374.335938866652,1658.8319657002949,3.2398314295793154,1.3154729761507318,3175,91,True,-666324.4533434239,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_6,6,0.0,0.0,0.0,0.0,3192.1873160129167,muhat_gt_test,True,-666323.5254343901,-666324.4533434239,-666319.04894348
2016,0.15,6000000,0,4788.280974019375,3.0,1596.0936580064583,4242.076958082863,1596.0936580064583,matched_refit_bonly,1.0,,3537045.454545456,17126302.208755556,0.0066093124999999,0.0431189544867478,resolution_scaled_local,1.1,8.0,0.0474308499354226,0.3449516358939828,0.1279114900119064,0.0951875694221197,13.211504686118293,0.1279114900119064,1.0,0.1279114900119064,1.0,0.9743651756636738,1.0,0.0256348243363262,0.0256348243363262,1082,541,541,118,2.25,2.25,default,full,fixed_hist,profiled,7393.882993245833,1673.2533678730986,4.418866344577765,1.5572070968179097,4760,106,True,-677139.1273604865,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_6,6,0.0,0.0,0.0,0.0,4788.280974019375,muhat_gt_test,True,-677137.8583016493,-677139.1273604865,-677129.1995883255
